res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948211072,1637680948211078,1637680948212702,1637680948217298,1637680948267015,0,1637680948267017
2,2,2,1637680950108187,1637680950108197,1637680950108504,1637680950110004,1637680950194814,1637680950198910,1637680950198944
3,1,4,1637680951369164,1637680951369168,1637680951369185,1637680951378465,1637680951560233,0,1637680951560236
4,2,4,1637680953854434,1637680953854445,1637680953854461,1637680953867170,1637680953960454,1637680953964730,1637680953964795
5,1,6,1637680955124113,1637680955124117,1637680955125325,1637680955126491,1637680955301461,0,1637680955301464
6,2,6,1637680958471744,1637680958471759,1637680958471775,1637680958472367,1637680958728543,1637680958755838,1637680958755963
7,1,8,1637680959901035,1637680959901039,1637680959902842,1637680959923384,1637680960071163,0,1637680960071177
8,2,8,1637680964116355,1637680964116377,1637680964116400,1637680964175451,1637680964295281,1637680964301030,1637680964301218
9,1,10,1637680965853708,1637680965853714,1637680965856145,1637680965871101,1637680966083080,0,1637680966083085
10,2,10,1637680970973116,1637680970973140,1637680970975181,1637680971035530,1637680971334144,1637680971344299,1637680971344571
1,1,12,1637680972488553,1637680972488564,1637680972491340,1637680972529863,1637680972766199,0,1637680972766204
2,2,12,1637680977571428,1637680977571463,1637680977571485,1637680977580660,1637680977814138,1637680977823766,1637680977824059
